ticker
NVDA
GOOGL
GOOG
AAPL
MSFT
AMZN
TSM
AVGO
TSLA
META
MU
LLY
WMT
AMD
JPM
ASML
INTC
V
XOM
JNJ
ORCL
AMAT
LRCX
CSCO
CAT
MA
COST
BAC
ABBV
MS
PG
CVX
KO
KLAC
HD
NFLX
HSBC
SNDK
GS
PLTR
GEV
TXN
MRK
NVS
RY
PM
MRVL
AZN
DELL
WDC
WFC
RTX
C
STX
QCOM
MUFG
LIN
PANW
IBM
AXP
ANET
ADI
APH
MCD
TD
TMUS
PEP
SAN
NVO
VZ
SAP
AMGN
TJX
NEE
DIS
TTE
BA
CRWD
TMO
GLW
UBS
ETN
IBKR
RIO
SCCO
SCHW
DE
APP
BUD
ABT
GILD
T
UNP
BX
WELL
UBER
HON
ISRG
PFE
SHOP
BBVA
BKNG
PLD
COP
HDB
VRT
BTI
MFG
CVS
CB
COF
DHR
LOW
CRM
SPGI
PGR
ENB
SYK
LMT
MO
SBUX
VRTX
NEM
BMY
PBR
TT
CDNS
BNS
FTNT
PWR
SO
MAR
CM
MDT
BP
IBN
BN
FCX
BNY
NOW
CEG
HOOD
DUK
SPOT
GD
BE
PNC
USB
KKR
ING
WMB
MNST
CME
BCS
JCI
MCK
ADP
SNPS
WM
CNQ
CSX
ABNB
EMR
ELV
RCL
MMM
AEM
HCA
AMT
EQNR
SNOW
SPG
CMCSA
NET
HLT
DDOG
APO
EPD
SHW
NXPI
ACN
MCO
MRSH
FDX
ADBE
MDLZ
CP
COHR
ITW
BAM
ECL
ICE
DASH
ROST
CRH
CI
INTU
CVNA
NBIS
ORLY
SLB
CL
GM
ALAB
MPC
TRP
KMI
VLO
STM
AEP
EOG
CNI
TER
CTAS
AON
B
MFC
DB
NSC
BSX
DLR
RKLB
NKE
PSX
LITE
WBD
MSI
TRV
SU
CRWV
MDLN
TEL
RSG
HPE
PCAR
APD
KEYS
CIEN
TFC
D
CARR
TGT
SRE
AFL
BKR
ALL
O
F
PSA
WPM
NUE
TRGP
DAL
VST
MET
AJG
LHX
AME
MCHP
FLEX
OKE
COR
FAST
CTVA
CAH
FANG
CBRS
OXY
ETR
CRDO
EA
EW
FER
DVN
XEL
MT
EBAY
FITB
LNG
ON
GFS
CVE
EXC
STT
NDAQ
CCJ
FERG
ODFL
AU
DHI
DEO
XYZ
TTWO
VIK
HUM
COIN
CCEP
CLS
CCL
ARES
YUM
KDP
CMG
ADSK
RKT
MSTR
LYV
PEG
BDX
VTR
VMC
AIG
JBS
JBL
ED
WCN
CBRE
IRM
TKO
SYY
PYPL
ALNY
PRU
RBLX
WEC
PCG
ADM
STLD
A
CCI
SUNB
Q
PAYX
HIG
HSY
KR
WAT
KVUE
RVMD
TRI
HBAN
AXON
TSEM
HMC
KMB
RDDT
QSR
PUK
ROP
NTRA
ZTS
MTB
CPNG
LVS
ACGL
NTRS
KGC
EQT
SATS
ALC
TECK
NTAP
DTE
EL
AMRZ
RPRX
IR
RJF
NTR
CNC
AEE
MTZ
MTSI
HAL
BIIB
TPR
EXPE
WDAY
NVT
NRG
ATO
CFG
FTAI
VICI
TWLO
OTIS
INIO
GEHC
CNP
IQV
CPRT
DXCM
FSLR
EIX
ATI
MKSI
VG
RMD
ENTG
KHC
FE
PBA
MDB
WSM
PPL
XYL
PPG
ES
CBOE
PHG
FTI
FISV
MRNA
ZM
SYF
SYM
DG
WRB
VEEV
P
EQR
AFRM
ILMN
DRI
AWK
RF
KEY
FDXF
STZ
PHM
PFG
LUV
XPO
SW
TROW
SOFI
AER
DOW
VRSK
SQM
FWONK
CMS
CHD
NI
ROIV
TTMI
AMKR
RIVN
LEN
FOXA
BG
CHRW
BCE
TW
ROL
HPQ
DLTR
CRCL
AS
IREN
IONQ
EXPD
LSCC
TEAM
DKS
EXE
INSM
CTSH
PAAS
VLTO
RBA
ROKU
OKTA
OMC
RCI
USFD
ZS
BRO
SN
SBAC
YPF
CHTR
FIS
FOX
INCY
IFF
TSN
IP
LYB
DD
FPS
NXT
MAIR
EVRG
AMCR
ALB
LNT
BWXT
FTV
EFX
IOT
SMCI
APG
STLA
CX
GPN
AKAM
DOCN
CDE
TU
VTRS
ARXS
GIS
MGA
FLUT
WY
GH
EWBC
HST
BEN
ZBH
INVH
ONTO
KIM
CDW
PFGC
NLY
TPG
CG
NBIX
BR
PR
WPC
TSCO
CF
SGI
SSNC
BBY
MOD
AA
NWS
TXT
VNOM
LOGI
BALL
RMBS
AGI
DECK
GPC
RRX
MAS
YUMC
THC
OWL
SMTC
BWA
OVV
WMG
GEN
TOL
PNFP
RBRK
JHX
UNM
REG
WULF
TOST
J
TIGO
LGN
ARMK
HUT
ALLY
UDR
SKM
OHI
NWSA
SOLS
VIRT
SWK
DOC
APTV
LDOS
GLXY
CRBG
APLD
HRL
PTC
DKNG
SOLV
EXEL
ALGN
AMH
AAOI
BBIO
CNH
ONON
ARCC
QXO
COO
EQH
SNN
AEG
CHKP
JEF
LULU
NTNX
GFL
GLPI
GGG
FNF
MKC
IVZ
ELS
TRU
PNW
BROS
AUR
CSGP
DRS
WBS
IONS
ELAN
DT
KNX
PNR
HAS
MGM
CIFR
AGNC
NYT
SJM
FHN
W
TXRH
APA
FORM
VIAV
DINO
CLX
BXP
ARWR
ALLE
TRMB
PINS
CCK
SF
AAON
ESI
ICLR
RVTY
PSKY
RDY
CGNX
ALGM
HBM
WYNN
SWKS
BJ
WSE
MP
EMBJ
CPT
GMED
HMY
FIVE
HL
CYTK
SMMT
OKLO
RIOT
AAL
BMRN
CART
FLS
AES
WTRG
CAVA
LINE
GSAT
OC
FRVO
AM
AR
WLK
MICC
BAX
GDDY
MOH
KTOS
PODD
PL
SCI
FROG
FIG
GTLS
JOBY
